term,coefficient,std_error,p_value,rate_ratio,rate_ratio_low,rate_ratio_high
C(hour)[T.22]:airport[T.LGA],0.11857528003920437,0.027851857477134888,2.0685856667451298e-05,1.1258916280777056,1.0660781585076493,1.1890609971317323
C(hour)[T.23]:airport[T.LGA],0.3382909996745792,0.029357073799847137,1.006546567845764e-30,1.402548585208482,1.3241254348438751,1.4856164545334456
sched_arrivals,0.17680662501028988,0.012941404699452964,1.7100624485208513e-42,1.193400297042602,1.1635107439596224,1.2240576860808048
sched_arrivals_prev_hr,0.020621743055415864,0.01468574423092421,0.16025887604816014,1.0208358403526894,0.9918714302265779,1.050646062777036
sched_arrivals_next_hr,0.01156443745011261,0.007902374235357243,0.14335439449372525,1.011631564067845,0.9960837571156946,1.0274220557332983
sched_distance_mi,-0.04370355206264687,0.010931930373312694,6.393687873057778e-05,0.9572376865532539,0.9369458943733827,0.9779689457635521
share_longhaul,0.02168862668786592,0.006648421607315413,0.0011054256925655944,1.0219255345872906,1.0086955483189926,1.0353290445089358
actual_arrivals_lag_1h,0.04073439883432989,0.013552946734484027,0.0026507915331167604,1.0415754251567342,1.0142719975419796,1.0696138401923392
arrival_slippage_lag_1h,0.042997084779422615,0.005568655889877583,1.1517804983426394e-14,1.043934851545816,1.0326029184720218,1.0553911428844298
mean_arr_delay_min_lag_1h,-0.014459431940540023,0.0030682985007597207,2.446666214172558e-06,0.9856446036102081,0.97973496624991,0.9915898871553759
share_delayed_15_lag_1h,0.05316762259937604,0.0032840564242036245,5.969696505519168e-59,1.0546064061714897,1.047840091997352,1.0614164130883013
share_cancelled_lag_1h,0.017528006840286,0.004730729635088275,0.00021127554956382308,1.0176825238235456,1.008290121448834,1.027162418102117
n_delay_observed_lag_1h,0.1302150471846094,0.027961420621766285,3.209222491151726e-06,1.1390733114968221,1.0783279745956946,1.2032406091020806
ewr_sched_arrivals,0.009453165485801746,0.009359968213639486,0.31251588836971744,1.009497987780845,0.9911473821151846,1.028188345873211
ewr_sched_distance_mi,-0.009742459592177248,0.00855911957608537,0.2550140702699605,0.9903048444234837,0.973830489700406,1.0070578968936665
ewr_mean_arr_delay_min_lag_1h,0.0018600367712697432,0.0027897868940383957,0.5049441189398056,1.0018617677127035,0.9963986553875289,1.00735483350692
ewr_share_cancelled_lag_1h,0.006546870057744816,0.0031224882212883263,0.03602158718738788,1.0065683476562879,1.0004269967390342,1.0127473986668136
ewr_n_delay_observed_lag_1h,-0.013049711453833462,0.005518990525296145,0.018053911973420596,0.9870350668525149,0.9764158240072907,0.9977698018024687
temp_c,0.006208229761995615,0.004651389371916503,0.18197311988510878,1.0062275407620764,0.9970958991977287,1.015442812073299
rhum_pct,0.0009237656464059227,0.002547990398676783,0.7169434922999045,1.0009241924493024,0.9959380682846164,1.0059352794454912
prcp_mm,-0.000668293563833946,0.0023377382068919535,0.7749762690059232,0.999331929694573,0.9947635818327352,1.0039212572168728
wspd_kmh,-0.008378908685064222,0.002148636190126488,9.633562551428388e-05,0.991656096533574,0.9874887662375007,0.995841013502418
pres_hpa,-0.012592708563450872,0.00225268172147384,2.2694324841623787e-08,0.9874862478186257,0.9831359339478419,0.9918558115511233
mean_fare_lag_1h,0.06114827272016321,0.01269766874771202,1.4667843574533483e-06,1.0630565247848476,1.036926759317628,1.0898447404629783
share_flat_fare_lag_1h,0.025988377782311445,0.011643294945189222,0.025611878157883964,1.026329020184833,1.0031729622502266,1.0500195851678233
mean_distance_mi_lag_1h,-0.07362659330703103,0.01784493619631418,3.692723337112465e-05,0.9290185308189327,0.8970873643087073,0.9620862637721483
mean_tip_ratio_lag_1h,-0.0010820769378594433,0.0015981173514547998,0.49834581218224916,0.9989185082962818,0.9957945384346386,1.0020522785608392
share_flex_fare_lag_1h,-0.1627774388959847,0.007263896678755874,3.208051266712842e-111,0.8497802954105957,0.8377677082039728,0.8619651287541653
pickups_lag_1h,0.23598196240902813,0.00467554136251469,0.0,1.2661514716385507,1.2546015971692532,1.2778076743642104
pickups_lag_24h,0.06206112012668165,0.004562183854979718,3.823473254326538e-42,1.0640273762286745,1.0545555558381086,1.073584270735075
pickups_lag_168h,0.019475108720456505,0.004519985562532211,1.6424208031066166e-05,1.0196659857536832,1.0106726505337003,1.0287393469626311
pickups_same_hour_7d,0.05885929988914701,0.008464263963955778,3.5542634280107543e-12,1.060626000045534,1.0431757304157294,1.0783681782208256
